TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  5249  &nbsp;
  5257  &nbsp;
  5258  &nbsp;
  5259  &nbsp;
  2803  05 030 Informatik (0, Promotionsstudium, laufend)
  4234  05 042 Bioinformatik (0, Promotionsstudium, laufend)
  2551  05 100 Chemie (0, Promotionsstudium, laufend)
  4127  05 105 Biochemie (0, Promotionsstudium, laufend)
  2897  05 110 Biologie (0, Promotionsstudium, laufend)
  2802  05 256 Technologie- u. Managementorientierte BWL (0, Promotionsstudium, laufend)
  3089  05 291 Sportwissenschaft (0, Promotionsstudium, laufend)
  2550  05 350 Architektur (0, Promotionsstudium, laufend)
  2636  05 401 Maschinenwesen (0, Promotionsstudium, laufend)
  4160  05 415 Chemie-Ingenieurwesen (0, Promotionsstudium, laufend)
  4396  05 457 Umweltingenieurwesen (0, Promotionsstudium, laufend)
  4094  05 701 Agrarwissenschaften (0, Promotionsstudium, laufend)
  4415  05 713 Umweltplanung und Ingenieurökologie (0, Promotionsstudium, laufend)
  3819  05 722 Landnutzung/Agrar-/Gartenbauwissenschaft (0, Promotionsstudium, laufend)
  4090  05 746 Landschaftsarchitektur und Landschaftsplanung (0, Promotionsstudium, laufend)
  3371  05 750 Forstwissenschaft (0, Promotionsstudium, laufend)
  4370  05 754 Sustainable Resource Management (0, Promotionsstudium, laufend)
  2993  05 761 Ernährungswissenschaft (0, Promotionsstudium, laufend)
  4128  05 800 Brauwesen und Getränketechnologie (0, Promotionsstudium, laufend)
  2984  05 830 Technologie und Biotechnologie der Lebensmittel (0, Promotionsstudium, laufend)
  3076  05 900 Medizin (0, Promotionsstudium, laufend)
  4850  06 115 TUM Campus Straubing (20191, Promotionsstudium, laufend)
  4529  06 602 Fakultät für Physik (0, Promotionsstudium, laufend)
  5020  06 654 TUM School of Engineering and Design (Geodäsie) (0, Promotionsstudium, laufend)
  5022  06 656 TUM School of Engineering and Design (Luft-, Raumfahrt) (0, Promotionsstudium, laufend)
  5034  06 658 TUM School of Engineering and Design (Landschaftsarch.) (20211, Promotionsstudium, laufend)
  5035  06 659 TUM School of Engineering and Design (Architektur) (20211, Promotionsstudium, laufend)
  5036  06 660 TUM School of Engineering and Design (Maschinenwesen) (20211, Promotionsstudium, laufend)
  5047  06 671 TUM School of ED (Bauing.) (20211, Promotionsstudium, laufend)
  5048  06 672 TUM School of ED (Geowiss.) (20211, Promotionsstudium, laufend)
  5050  06 674 TUM School of ED (Allg. Ingenieurwi.) (20211, Promotionsstudium, laufend)
  5070  06 689 TUM School of NAT (Physik) (20211, Promotionsstudium, laufend)
  4752  06 913 Gastpromotion (PH) (20181, Promotionsstudium, laufend)
  2491  07 906 Medical Life Science and Technology,Doctor of Philosophy (0, Promotionsstudium, laufend)
  2662  08 160 Lebensmittelchemie (0, Studium mit staatlicher Prüfung, laufend)
  2728  08 902 Medizin (Klinisch) (0, Studium mit staatlicher Prüfung, laufend)
  4241  08 911 Medizin (Vorklinisch LMU) (0, Studium mit staatlicher Prüfung, laufend)
  5373  14 016, 028 Mathematik, Informatik (20241, Bachelorstudium, laufend)
  5115  14 016, 290 Mathematik, Sport (20221, Bachelorstudium, laufend)
  5114  14 017, 054 Mathematik, Physik (20221, Bachelorstudium, laufend)
  5111  14 018, 108 Mathematik, Chemie (20221, Bachelorstudium, laufend)
  5090  14 110, 028 Biologie, Informatik (20221, Bachelorstudium, laufend)
  5369  14 110, 100 Biologie, Chemie (20241, Bachelorstudium, laufend)
  5370  14 127, 128 Biologie, Informatik (20241, Bachelorstudium, laufend)
  5244  16 010 Mathematik (20231, Masterstudium, laufend)
  4864  16 023 Mathematics in Science and Engineering (20191, Masterstudium, laufend)
  5245  16 024 Mathematical Finance and Actuarial Science (20231, Masterstudium, laufend)
  4406  16 026 Mathematics in Operations Research (20141, Masterstudium, laufend)
  5217  16 030 Informatik (20231, Masterstudium, laufend)
  5219  16 034 Informatik: Games Engineering (20231, Masterstudium, laufend)
  5246  16 038 Mathematics in Data Science (20231, Masterstudium, laufend)
  5001  16 041 Computational Science and Engineering (20211, Masterstudium, laufend)
  5000  16 042 Bioinformatik (20211, Masterstudium, laufend)
  5348  16 046 Earth Oriented Space Science and Technology (20241, Masterstudium, laufend)
